id,query,cloud_environment,deployment_model,government_domain,data_classification,jurisdiction,policy_framework,governance_rule,ai_action,decision_explanation,risk_level,compliance_status,human_override_required,final_outcome,identity_context,security_control,audit_trace,timestamp,agency_type,region
FAGDD-001,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The request originated from a cross-cloud review queue.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST AI RMF 2023,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-001 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-07T12:11:00,State Government,US-East
FAGDD-002,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request originated from a cross-cloud review queue.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-002 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-07T16:22:00,State Government,US-East
FAGDD-003,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request originated from a cross-cloud review queue.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-003 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-07T20:33:00,State Government,US-East
FAGDD-004,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The request originated from a cross-cloud review queue.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,EU AI Act 2024,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-004 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-08T00:44:00,State Government,US-East
FAGDD-005,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The workflow requires a transparent explanation for supervisory approval.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-005 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-08T04:55:00,State Government,US-East
FAGDD-006,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The workflow requires a transparent explanation for supervisory approval.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST AI RMF 2023; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Escalated,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Partially Compliant,Yes,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-006 recorded federated policy evaluation in Azure; region=US-East; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-08T08:06:00,State Government,US-East
FAGDD-007,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The workflow requires a transparent explanation for supervisory approval.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,EU AI Act 2024; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved with Conditions,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-007 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-08T12:17:00,State Government,US-East
FAGDD-008,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The workflow requires a transparent explanation for supervisory approval.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-008 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-08T16:28:00,State Government,US-East
FAGDD-009,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The decision must preserve sovereign routing and identity context evidence.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-009 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-08T20:39:00,State Government,US-East
FAGDD-010,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The decision must preserve sovereign routing and identity context evidence.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Restricted,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Requires Review,Yes,Escalated,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-010 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-09T00:50:00,State Government,US-East
FAGDD-011,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The decision must preserve sovereign routing and identity context evidence.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-011 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-09T04:01:00,State Government,US-East
FAGDD-012,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The decision must preserve sovereign routing and identity context evidence.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,EU AI Act 2024,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-012 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-09T08:12:00,State Government,US-East
FAGDD-013,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The request includes policy-sensitive data handling constraints.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,NIST AI RMF 2023; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-013 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-09T12:23:00,State Government,US-East
