record_id,scenario_type,task_description,input_complexity,ai_recommendation,confidence_score,explainability_score,fairness_risk,compliance_risk,human_override,override_reason,final_decision,outcome_status,processing_time_seconds,notes
TADD-001,document_approval,Review a policy acknowledgment form with missing signature metadata.,Medium,Escalate for interpretability review,0.81,1,Medium,Low,Yes,Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,44,Suitable for reproducible experiments with synthetic decision data.
TADD-002,document_approval,Assess a grant submission packet with one incomplete supporting attachment.,Medium,Defer for additional evidence,0.54,4,Low,Low,Yes,Reviewer intervened because the prediction confidence was insufficient.,Rejected,Rejected,66,Suitable for reproducible experiments with synthetic decision data.
TADD-003,document_approval,Route a procurement memo that contains conflicting approval dates.,Medium,Defer for additional evidence,0.60,5,Low,Low,Yes,Low model confidence triggered mandatory human review.,Escalated,Escalated,44,Represents a generic operational workflow decision scenario.
TADD-004,document_approval,Evaluate a travel exception request with manually entered cost estimates.,Low,Defer pending fairness review,0.64,2,High,Low,Yes,Confidence fell below the autonomous decision threshold. Potential fairness concerns required a human equity check. Low explainability score required human interpretation of the result.,Deferred,Deferred,45,Suitable for reproducible experiments with synthetic decision data.
TADD-005,document_approval,Check a contract addendum requiring dual-approval verification.,High,Escalate for interpretability review,0.63,1,Medium,Medium,Yes,Low model confidence triggered mandatory human review. Reviewer intervened because the rationale transparency was insufficient.,Deferred,Deferred,108,Generated for open research on human-in-the-loop governance.
TADD-006,document_approval,Process a quality assurance checklist uploaded in mixed file formats.,Low,Escalate for interpretability review,0.85,1,Medium,Medium,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,41,Designed to support analysis of risk-aware automation behavior.
TADD-007,document_approval,Review a budget adjustment request flagged for unusual timing.,Medium,Defer for additional evidence,0.64,3,Low,Low,Yes,Reviewer intervened because the prediction confidence was insufficient.,Escalated,Escalated,70,Suitable for reproducible experiments with synthetic decision data.
TADD-008,document_approval,Assess a supplier registration form with partially standardized fields.,High,Approve with monitoring,0.81,5,Medium,Low,No,None,Approved,Approved,79,Suitable for reproducible experiments with synthetic decision data.
TADD-009,document_approval,Validate a maintenance authorization packet containing handwritten notes.,Medium,Defer for additional evidence,0.61,3,Medium,Medium,Yes,Low model confidence triggered mandatory human review.,Escalated,Escalated,57,Synthetic record for trustworthy automation benchmarking.
TADD-010,document_approval,Examine a project closure document with unresolved checklist items.,High,Defer pending fairness review,0.60,5,High,Low,Yes,Confidence fell below the autonomous decision threshold. Reviewer intervened to inspect a possible disparate impact pattern.,Deferred,Deferred,113,Represents a generic operational workflow decision scenario.
TADD-011,invoice_processing,Process a recurring service invoice with a changed line-item description.,High,Defer for additional evidence,0.57,5,Low,Medium,Yes,Reviewer intervened because the prediction confidence was insufficient.,Rejected,Rejected,109,Generated for open research on human-in-the-loop governance.
TADD-012,invoice_processing,Review a shipment invoice that references an outdated purchase order code.,Low,Escalate for interpretability review,0.99,2,Low,Low,Yes,The recommendation explanation was too weak for automated handling.,Approved,Approved,27,Generated for open research on human-in-the-loop governance.
TADD-013,invoice_processing,Assess a multi-line facilities invoice with tax rounding discrepancies.,High,Approve with monitoring,0.89,4,Medium,Low,No,None,Approved,Approved,112,Represents a generic operational workflow decision scenario.
TADD-014,invoice_processing,Validate a training expense invoice submitted with a blurred receipt image.,Medium,Escalate for interpretability review,0.98,1,Medium,Low,Yes,Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,50,Represents a generic operational workflow decision scenario.
TADD-015,invoice_processing,Check a consulting invoice that exceeds the expected monthly threshold.,Medium,Escalate for manual assessment,0.71,4,Low,Medium,No,None,Escalated,Escalated,52,Generated for open research on human-in-the-loop governance.
TADD-016,invoice_processing,Process a hardware invoice with partially matched item quantities.,Medium,Defer pending fairness review,0.75,1,High,Low,Yes,Potential fairness concerns required a human equity check. Low explainability score required human interpretation of the result.,Escalated,Escalated,78,Suitable for reproducible experiments with synthetic decision data.
TADD-017,invoice_processing,Review a reimbursement invoice missing a secondary cost center tag.,High,Defer pending fairness review,0.97,5,High,Medium,Yes,Potential fairness concerns required a human equity check.,Escalated,Escalated,72,Represents a generic operational workflow decision scenario.
TADD-018,invoice_processing,Assess a subscription invoice with duplicate-looking service periods.,Low,Escalate for compliance review,0.62,2,High,High,Yes,Reviewer intervened because the prediction confidence was insufficient. Policy-sensitive conditions forced manual review by a compliance reviewer. Potential fairness concerns required a human equity check. Reviewer intervened because the rationale transparency was insufficient.,Rejected,Rejected,45,Designed to support analysis of risk-aware automation behavior.
TADD-019,invoice_processing,Validate an invoice containing a manual discount justification note.,High,Escalate for compliance review,0.96,2,Low,High,Yes,High compliance risk required reviewer sign-off before completion. Reviewer intervened because the rationale transparency was insufficient.,Rejected,Rejected,92,Represents a generic operational workflow decision scenario.
TADD-020,invoice_processing,Check a logistics invoice tied to a delayed delivery event.,Low,Approve with monitoring,0.71,5,Low,Low,No,None,Approved,Approved,15,Synthetic record for trustworthy automation benchmarking.
TADD-021,customer_request_routing,Route a billing support request containing mixed refund and access questions.,High,Escalate for interpretability review,0.79,2,Medium,Low,Yes,Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,63,Synthetic record for trustworthy automation benchmarking.
TADD-022,customer_request_routing,"Classify a service complaint submitted in concise, ambiguous language.",High,Approve automatically,0.94,3,Low,Low,No,None,Approved,Approved,107,Generated for open research on human-in-the-loop governance.
TADD-023,customer_request_routing,Triage a product inquiry that mentions urgent delivery and cancellation risk.,Medium,Approve with monitoring,0.76,5,Low,Low,No,None,Approved,Approved,71,Designed to support analysis of risk-aware automation behavior.
TADD-024,customer_request_routing,Route a multilingual request that alternates between technical and billing topics.,Medium,Defer for additional evidence,0.59,1,Medium,Low,Yes,Confidence fell below the autonomous decision threshold. Reviewer intervened because the rationale transparency was insufficient.,Rejected,Rejected,41,Synthetic record for trustworthy automation benchmarking.
TADD-025,customer_request_routing,Classify a renewal question with inconsistent account reference details.,Medium,Defer for additional evidence,0.53,3,Medium,Low,Yes,Low model confidence triggered mandatory human review.,Rejected,Rejected,69,Generated for open research on human-in-the-loop governance.
TADD-026,customer_request_routing,Triage a feedback submission that includes a hidden request for escalation.,Medium,Escalate for compliance review,0.71,3,Low,High,Yes,Policy-sensitive conditions forced manual review by a compliance reviewer.,Escalated,Escalated,92,Synthetic record for trustworthy automation benchmarking.
TADD-027,customer_request_routing,Route a support message referencing multiple unresolved incidents.,Medium,Escalate for compliance review,0.82,5,Medium,High,Yes,High compliance risk required reviewer sign-off before completion.,Escalated,Escalated,72,Generated for open research on human-in-the-loop governance.
TADD-028,customer_request_routing,Classify a portal access complaint from a newly migrated user segment.,Medium,Escalate for interpretability review,0.92,1,Low,Low,Yes,Low explainability score required human interpretation of the result.,Approved,Approved,85,Represents a generic operational workflow decision scenario.
TADD-029,customer_request_routing,Triage a contract clarification request with sparse historical context.,Medium,Escalate for manual assessment,0.71,5,Medium,Low,No,None,Escalated,Escalated,38,Generated for open research on human-in-the-loop governance.
TADD-030,customer_request_routing,Route a customer note that combines feature feedback and outage concerns.,Medium,Approve with monitoring,0.97,5,Medium,Low,No,None,Approved,Approved,23,Synthetic record for trustworthy automation benchmarking.
TADD-031,employee_onboarding,Review a starter checklist for a remote analyst with pending equipment needs.,Low,Defer pending fairness review,0.79,5,High,Medium,Yes,Reviewer intervened to inspect a possible disparate impact pattern.,Escalated,Escalated,17,Synthetic record for trustworthy automation benchmarking.
TADD-032,employee_onboarding,Assess an onboarding package with inconsistent role and department labels.,High,Escalate for compliance review,0.79,2,Low,High,Yes,High compliance risk required reviewer sign-off before completion. Reviewer intervened because the rationale transparency was insufficient.,Rejected,Rejected,72,Designed to support analysis of risk-aware automation behavior.
TADD-033,employee_onboarding,Validate an orientation registration request submitted after the deadline window.,Low,Escalate for compliance review,0.82,5,Low,High,Yes,Human review was required due to elevated compliance exposure.,Escalated,Escalated,47,Represents a generic operational workflow decision scenario.
TADD-034,employee_onboarding,Review a system setup request for a contractor with limited access duration.,Low,Escalate for compliance review,0.69,3,Low,High,Yes,Low model confidence triggered mandatory human review. Policy-sensitive conditions forced manual review by a compliance reviewer.,Escalated,Escalated,46,Synthetic record for trustworthy automation benchmarking.
TADD-035,employee_onboarding,Assess a benefits enrollment packet missing one optional acknowledgement field.,Low,Escalate for compliance review,0.76,5,Low,High,Yes,High compliance risk required reviewer sign-off before completion.,Escalated,Escalated,34,Designed to support analysis of risk-aware automation behavior.
TADD-036,employee_onboarding,Validate a workstation request with overlapping hardware preferences.,High,Escalate for compliance review,0.91,3,Medium,High,Yes,Human review was required due to elevated compliance exposure.,Escalated,Escalated,76,Represents a generic operational workflow decision scenario.
TADD-037,employee_onboarding,Review a background screening follow-up for a time-sensitive start date.,Low,Defer pending fairness review,0.96,1,High,Low,Yes,Potential fairness concerns required a human equity check. Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,32,Represents a generic operational workflow decision scenario.
